"[run number]","population","vision","sight","familiarity","_start-queue-radius","wider-exits","wider-stairs","one-way-traffic","evacuee-staff","obstacles","dynamic-signs","phased-evacuation","[step]","evac100"
"2","700","60","6","0.2","4","false","false","false","false","false","false","false","213","213"
"7","700","60","6","0.2","4","false","false","false","false","false","false","false","226","226"
"4","700","60","6","0.2","4","false","false","false","false","false","false","false","236","236"
"3","700","60","6","0.2","4","false","false","false","false","false","false","false","218","218"
"6","700","60","6","0.2","4","false","false","false","false","false","false","false","248","248"
"1","700","60","6","0.2","4","false","false","false","false","false","false","false","242","242"
"9","700","60","6","0.2","4","false","false","false","false","false","false","false","224","224"
"5","700","60","6","0.2","4","false","false","false","false","false","false","false","223","223"
"8","700","60","6","0.2","4","false","false","false","false","false","false","false","245","245"
"10","700","60","6","0.2","4","false","false","false","false","false","false","false","211","211"
"11","700","60","6","0.2","4","false","false","false","false","false","false","false","246","246"
"12","700","60","6","0.2","4","false","false","false","false","false","false","false","232","232"
"14","700","60","6","0.2","4","false","false","false","false","false","false","false","219","219"
"17","700","60","6","0.2","4","false","false","false","false","false","false","false","210","210"
"15","700","60","6","0.2","4","false","false","false","false","false","false","false","222","222"
"13","700","60","6","0.2","4","false","false","false","false","false","false","false","241","241"
"16","700","60","6","0.2","4","false","false","false","false","false","false","false","239","239"
"18","700","60","6","0.2","4","false","false","false","false","false","false","false","244","244"
"20","700","60","6","0.2","4","false","false","false","false","false","false","false","227","227"
"21","700","60","6","0.2","4","false","false","false","false","false","false","false","223","223"
"19","700","60","6","0.2","4","false","false","false","false","false","false","false","257","257"
"22","700","60","6","0.2","4","false","false","false","false","false","false","false","220","220"
"23","700","60","6","0.2","4","false","false","false","false","false","false","false","218","218"
"24","700","60","6","0.2","4","false","false","false","false","false","false","false","238","238"
"30","700","60","6","0.2","4","false","false","false","false","false","false","false","221","221"
"25","700","60","6","0.2","4","false","false","false","false","false","false","false","229","229"
"29","700","60","6","0.2","4","false","false","false","false","false","false","false","223","223"
"27","700","60","6","0.2","4","false","false","false","false","false","false","false","249","249"
"28","700","60","6","0.2","4","false","false","false","false","false","false","false","224","224"
