"[run number]","exit-width","population","obstacles","[step]","ticks"
"4","5","200","false","68","68"
"11","5","200","false","68","68"
"5","5","200","false","68","68"
"10","5","200","false","69","69"
"12","5","200","false","68","68"
"3","5","200","false","72","72"
"7","5","200","false","72","72"
"1","5","200","false","66","66"
"6","5","200","false","70","70"
"9","5","200","false","74","74"
"2","5","200","false","71","71"
"8","5","200","false","74","74"
"13","5","200","false","70","70"
"17","5","200","false","70","70"
"18","5","200","false","71","71"
"14","5","200","false","65","65"
"15","5","200","false","69","69"
"16","5","200","false","73","73"
"19","5","200","false","69","69"
"22","5","200","false","70","70"
"20","5","200","false","66","66"
"21","5","200","false","68","68"
"23","5","200","false","70","70"
"24","5","200","false","70","70"
"26","5","200","false","66","66"
"27","5","200","false","66","66"
"25","5","200","false","67","67"
"29","5","200","false","69","69"
"30","5","200","false","68","68"
"28","5","200","false","71","71"
"32","5","200","false","69","69"
"33","5","200","false","72","72"
"31","5","200","false","69","69"
"34","5","200","false","75","75"
"35","5","200","false","68","68"
"36","5","200","false","67","67"
"37","5","200","false","69","69"
"39","5","200","false","70","70"
"40","5","200","false","67","67"
"38","5","200","false","65","65"
"42","5","200","false","71","71"
"41","5","200","false","71","71"
"44","5","200","false","74","74"
"43","5","200","false","77","77"
"45","5","200","false","70","70"
"46","5","200","false","71","71"
"47","5","200","false","71","71"
"50","5","200","false","68","68"
"49","5","200","false","68","68"
"48","5","200","false","73","73"
"51","5","200","false","80","80"
"52","5","200","false","69","69"
"53","5","200","false","68","68"
"54","5","200","false","73","73"
"55","5","200","false","72","72"
"58","5","200","false","66","66"
"56","5","200","false","71","71"
"57","5","200","false","68","68"
"62","5","200","false","69","69"
"59","5","200","false","71","71"
"61","5","200","false","71","71"
"60","5","200","false","67","67"
"64","5","200","false","67","67"
"63","5","200","false","70","70"
"65","5","200","false","71","71"
"66","5","200","false","66","66"
"67","5","200","false","71","71"
"68","5","200","false","69","69"
"69","5","200","false","72","72"
"73","5","200","false","70","70"
"70","5","200","false","69","69"
"74","5","200","false","73","73"
"72","5","200","false","71","71"
"71","5","200","false","68","68"
"76","5","200","false","67","67"
"75","5","200","false","68","68"
"77","5","200","false","68","68"
"78","5","200","false","70","70"
"79","5","200","false","69","69"
"80","5","200","false","67","67"
"81","5","200","false","69","69"
"82","5","200","false","69","69"
"84","5","200","false","71","71"
"83","5","200","false","69","69"
"85","5","200","false","70","70"
"86","5","200","false","66","66"
"87","5","200","false","72","72"
"88","5","200","false","73","73"
"89","5","200","false","69","69"
"90","5","200","false","70","70"
"92","5","200","false","71","71"
"91","5","200","false","74","74"
"94","5","200","false","67","67"
"95","5","200","false","67","67"
"93","5","200","false","69","69"
"97","5","200","false","69","69"
"96","5","200","false","71","71"
"98","5","200","false","69","69"
"99","5","200","false","69","69"
"100","5","200","false","76","76"
"101","5","200","true","68","68"
"102","5","200","true","67","67"
"103","5","200","true","67","67"
"104","5","200","true","67","67"
"106","5","200","true","67","67"
"105","5","200","true","68","68"
"108","5","200","true","69","69"
"107","5","200","true","68","68"
"109","5","200","true","67","67"
"110","5","200","true","66","66"
"112","5","200","true","67","67"
"111","5","200","true","70","70"
"113","5","200","true","66","66"
"114","5","200","true","70","70"
"115","5","200","true","67","67"
"116","5","200","true","69","69"
"117","5","200","true","67","67"
"119","5","200","true","68","68"
"120","5","200","true","64","64"
"118","5","200","true","68","68"
"123","5","200","true","70","70"
"122","5","200","true","70","70"
"121","5","200","true","69","69"
"124","5","200","true","69","69"
"126","5","200","true","67","67"
"125","5","200","true","69","69"
"128","5","200","true","67","67"
"127","5","200","true","66","66"
"129","5","200","true","64","64"
"130","5","200","true","69","69"
"131","5","200","true","68","68"
"132","5","200","true","69","69"
"133","5","200","true","67","67"
"135","5","200","true","72","72"
"136","5","200","true","67","67"
"134","5","200","true","68","68"
"137","5","200","true","68","68"
"138","5","200","true","67","67"
"140","5","200","true","64","64"
"139","5","200","true","66","66"
"141","5","200","true","69","69"
"142","5","200","true","74","74"
"143","5","200","true","68","68"
"145","5","200","true","67","67"
"144","5","200","true","71","71"
"146","5","200","true","68","68"
"147","5","200","true","70","70"
"148","5","200","true","67","67"
"149","5","200","true","69","69"
"150","5","200","true","66","66"
"151","5","200","true","65","65"
"152","5","200","true","69","69"
"153","5","200","true","69","69"
"154","5","200","true","66","66"
"156","5","200","true","68","68"
"157","5","200","true","69","69"
"155","5","200","true","68","68"
"159","5","200","true","68","68"
"158","5","200","true","74","74"
"160","5","200","true","68","68"
"161","5","200","true","67","67"
"162","5","200","true","70","70"
"163","5","200","true","66","66"
"164","5","200","true","68","68"
"165","5","200","true","66","66"
"166","5","200","true","67","67"
"167","5","200","true","73","73"
"170","5","200","true","70","70"
"168","5","200","true","68","68"
"169","5","200","true","69","69"
"171","5","200","true","68","68"
"172","5","200","true","68","68"
"173","5","200","true","66","66"
"174","5","200","true","66","66"
"175","5","200","true","68","68"
"176","5","200","true","72","72"
"177","5","200","true","67","67"
"178","5","200","true","69","69"
"179","5","200","true","68","68"
"180","5","200","true","67","67"
"181","5","200","true","68","68"
"182","5","200","true","69","69"
"183","5","200","true","70","70"
"184","5","200","true","70","70"
"185","5","200","true","69","69"
