"[run number]","population","[step]","mean list_preevac"
"5","50","51","16.06"
"1","50","51","15.42"
"10","50","52","14.04"
"2","50","50","12.82"
"8","50","53","14.6"
"9","50","52","15.18"
"6","50","51","14.32"
"4","50","53","15.14"
"12","50","51","12.8"
"3","50","53","14.22"
"7","50","52","15.42"
"11","50","56","16.08"
"16","50","51","14.58"
"18","50","51","15.28"
"13","50","50","16.76"
"14","50","52","13.5"
"15","50","51","15.12"
"17","50","53","13.74"
"22","50","49","15.58"
"23","50","49","14.74"
"27","50","50","14.62"
"20","50","48","13.66"
"19","50","48","13.14"
"26","50","53","15.02"
"25","50","52","15.54"
"24","50","47","14.3"
"28","50","50","13.9"
"21","50","52","13.26"
"31","50","52","16.6"
"30","50","52","13.8"
"32","50","52","15.04"
"29","50","49","14.44"
"33","50","53","16.84"
"36","50","51","16.28"
"37","50","53","14.42"
"35","50","51","13.32"
"39","50","56","14.56"
"34","50","48","13.44"
"42","50","49","14.94"
"45","50","47","14.12"
"38","50","49","12.76"
"47","50","55","12.66"
"43","50","50","13.96"
"46","50","53","15.72"
"41","50","55","16.24"
"44","50","52","14.2"
"40","50","55","14.82"
"49","50","53","14.72"
"48","50","52","14.72"
"50","50","52","14.4"
"54","50","49","12.6"
"51","50","49","13.48"
"56","50","49","12.18"
"55","50","55","15.54"
"60","50","53","14.56"
"53","50","48","12.46"
"52","50","51","14.68"
"57","50","51","13.86"
"58","50","51","15.12"
"59","50","54","14.22"
"61","50","50","15.7"
"64","50","49","14.54"
"67","50","50","13.92"
"62","50","50","14.3"
"69","50","49","13.36"
"66","50","49","15.78"
"65","50","52","14.58"
"68","50","52","12.72"
"63","50","55","17.44"
"70","50","56","15.56"
"72","50","54","16.44"
"73","50","56","15.48"
"71","50","51","15.44"
"74","50","53","14.36"
"79","50","52","14.2"
"77","50","53","15.42"
"75","50","52","13.62"
"80","50","52","13"
"81","50","49","14.62"
"82","50","50","15.16"
"76","50","51","12.88"
"87","50","52","16.3"
"86","50","53","13.46"
"78","50","53","15.1"
"85","50","47","13.06"
"88","50","48","13.94"
"83","50","53","14.68"
"84","50","51","14.14"
"91","50","51","14.46"
"89","50","51","13.98"
"90","50","55","14.74"
"93","50","49","14.94"
"94","50","50","14.1"
"92","50","49","13.2"
"98","50","52","12.78"
"97","50","50","14.04"
"95","50","49","13.64"
"100","50","52","15.54"
"96","50","53","16.22"
"99","50","50","15.86"
"101","100","56","13.78"
"102","100","57","15.43"
"104","100","55","15.76"
"103","100","57","14.47"
"105","100","54","13.6"
"107","100","55","15.53"
"106","100","56","15.55"
"108","100","59","14.55"
"109","100","55","14.2"
"110","100","57","14.55"
"111","100","52","13.77"
"113","100","55","14.17"
"114","100","54","14.83"
"112","100","55","15.88"
"118","100","57","15.13"
"119","100","56","15.54"
"116","100","58","13.99"
"117","100","57","13.63"
"115","100","56","14.06"
"120","100","56","14.45"
"121","100","58","16.11"
"122","100","60","14.79"
"123","100","56","14.07"
"124","100","57","14.36"
"127","100","57","15.13"
"126","100","57","15.1"
"130","100","56","12.14"
"125","100","56","14.38"
"129","100","57","13.95"
"128","100","54","14.41"
"131","100","55","13.94"
"132","100","57","14.34"
"133","100","54","14.52"
"136","100","58","16.05"
"134","100","57","14.06"
"139","100","56","14.22"
"135","100","55","13.86"
"138","100","54","14.3"
"137","100","55","13.49"
"140","100","57","14.28"
"142","100","58","13.35"
"141","100","58","15.75"
"143","100","56","14.34"
"144","100","53","14.59"
"146","100","56","13.86"
"145","100","54","14.57"
"147","100","57","14.42"
"151","100","54","14.77"
"148","100","56","14.54"
"150","100","56","13.21"
"149","100","57","14.89"
"153","100","53","13.37"
"154","100","58","14.54"
"152","100","58","15.29"
"155","100","57","14.27"
"156","100","57","14.98"
"158","100","58","13.41"
"157","100","55","14.47"
"159","100","55","14.76"
"160","100","58","15.13"
"161","100","58","15.53"
"165","100","58","16.44"
"163","100","55","14.21"
"162","100","60","15.52"
"164","100","54","13.61"
