"[run number]","exit-width","population","[step]","ticks"
"8","1","200","214","214"
"4","1","200","213","213"
"2","1","200","212","212"
"10","1","200","216","216"
"3","1","200","211","211"
"7","1","200","214","214"
"9","1","200","215","215"
"6","1","200","215","215"
"5","1","200","211","211"
"12","1","200","214","214"
"1","1","200","212","212"
"11","1","200","212","212"
"13","1","200","213","213"
"15","1","200","213","213"
"17","1","200","213","213"
"18","1","200","214","214"
"16","1","200","211","211"
"14","1","200","215","215"
"20","1","200","212","212"
"19","1","200","212","212"
"24","1","200","213","213"
"21","1","200","213","213"
"22","1","200","212","212"
"23","1","200","213","213"
"25","1","200","212","212"
"26","1","200","213","213"
"28","1","200","213","213"
"27","1","200","211","211"
"30","1","200","211","211"
"29","1","200","216","216"
"31","1","200","211","211"
"32","1","200","213","213"
"33","1","200","212","212"
"34","1","200","216","216"
"35","1","200","212","212"
"36","1","200","213","213"
"37","1","200","214","214"
"38","1","200","213","213"
"39","1","200","213","213"
"40","1","200","213","213"
"41","1","200","211","211"
"44","1","200","211","211"
"43","1","200","212","212"
"45","1","200","212","212"
"42","1","200","214","214"
"47","1","200","212","212"
"46","1","200","214","214"
"49","1","200","213","213"
"52","1","200","214","214"
"50","1","200","214","214"
"53","1","200","213","213"
"51","1","200","217","217"
"54","1","200","213","213"
"58","1","200","215","215"
"55","1","200","215","215"
"57","1","200","212","212"
"56","1","200","213","213"
"48","1","200","212","212"
"59","1","200","212","212"
"60","1","200","213","213"
"61","1","200","213","213"
"63","1","200","213","213"
"64","1","200","212","212"
"62","1","200","216","216"
"65","1","200","214","214"
"66","1","200","212","212"
"69","1","200","214","214"
"67","1","200","212","212"
"68","1","200","212","212"
"71","1","200","216","216"
"70","1","200","212","212"
"72","1","200","214","214"
"74","1","200","213","213"
"73","1","200","214","214"
"77","1","200","214","214"
"75","1","200","214","214"
"78","1","200","213","213"
"76","1","200","214","214"
"81","1","200","213","213"
"79","1","200","214","214"
"80","1","200","213","213"
"82","1","200","213","213"
"85","1","200","212","212"
"86","1","200","214","214"
"83","1","200","214","214"
"84","1","200","212","212"
"88","1","200","211","211"
"89","1","200","213","213"
"90","1","200","212","212"
"91","1","200","212","212"
"87","1","200","214","214"
"93","1","200","213","213"
"92","1","200","214","214"
"94","1","200","211","211"
"101","2","200","115","115"
"102","2","200","116","116"
"103","2","200","119","119"
"104","2","200","116","116"
"105","2","200","117","117"
"106","2","200","119","119"
"96","1","200","212","212"
"107","2","200","116","116"
"95","1","200","213","213"
"109","2","200","115","115"
"108","2","200","115","115"
"100","1","200","212","212"
"99","1","200","212","212"
"110","2","200","116","116"
"111","2","200","115","115"
"98","1","200","212","212"
"112","2","200","117","117"
"113","2","200","115","115"
"97","1","200","214","214"
"115","2","200","117","117"
"114","2","200","118","118"
"116","2","200","116","116"
"118","2","200","115","115"
"117","2","200","117","117"
"119","2","200","115","115"
"121","2","200","119","119"
"120","2","200","121","121"
"122","2","200","119","119"
"123","2","200","116","116"
"124","2","200","118","118"
"127","2","200","118","118"
"126","2","200","116","116"
"128","2","200","122","122"
"129","2","200","116","116"
"130","2","200","115","115"
"131","2","200","121","121"
"132","2","200","120","120"
"125","2","200","117","117"
"133","2","200","117","117"
"134","2","200","115","115"
"135","2","200","122","122"
"136","2","200","117","117"
"137","2","200","116","116"
"138","2","200","114","114"
"139","2","200","117","117"
"140","2","200","117","117"
"141","2","200","118","118"
"142","2","200","113","113"
"145","2","200","117","117"
"143","2","200","118","118"
"146","2","200","118","118"
"147","2","200","116","116"
"148","2","200","118","118"
"149","2","200","116","116"
"144","2","200","118","118"
"151","2","200","119","119"
"153","2","200","119","119"
"152","2","200","117","117"
"150","2","200","117","117"
"154","2","200","116","116"
"156","2","200","120","120"
"155","2","200","120","120"
"157","2","200","117","117"
"158","2","200","118","118"
"159","2","200","117","117"
"160","2","200","121","121"
"163","2","200","115","115"
"162","2","200","121","121"
"165","2","200","117","117"
"164","2","200","115","115"
"167","2","200","114","114"
"166","2","200","118","118"
"168","2","200","119","119"
"161","2","200","117","117"
"169","2","200","116","116"
"171","2","200","117","117"
"170","2","200","120","120"
"173","2","200","117","117"
"172","2","200","118","118"
"174","2","200","116","116"
"175","2","200","120","120"
"176","2","200","120","120"
"177","2","200","120","120"
"179","2","200","117","117"
"178","2","200","116","116"
"181","2","200","117","117"
"183","2","200","115","115"
"182","2","200","115","115"
"185","2","200","114","114"
"184","2","200","120","120"
"187","2","200","116","116"
"180","2","200","117","117"
"188","2","200","114","114"
"186","2","200","124","124"
"189","2","200","119","119"
"190","2","200","115","115"
"191","2","200","117","117"
"192","2","200","118","118"
"193","2","200","116","116"
"194","2","200","117","117"
"196","2","200","115","115"
"195","2","200","118","118"
"202","3","200","88","88"
"201","3","200","85","85"
"203","3","200","84","84"
"199","2","200","115","115"
"200","2","200","116","116"
"197","2","200","120","120"
"204","3","200","93","93"
"205","3","200","87","87"
"206","3","200","90","90"
"208","3","200","84","84"
"207","3","200","87","87"
"209","3","200","90","90"
"212","3","200","87","87"
"213","3","200","86","86"
"198","2","200","120","120"
"210","3","200","93","93"
"211","3","200","88","88"
"214","3","200","86","86"
"215","3","200","85","85"
"216","3","200","86","86"
"217","3","200","89","89"
"218","3","200","89","89"
"219","3","200","89","89"
"221","3","200","87","87"
"225","3","200","87","87"
"220","3","200","90","90"
"224","3","200","88","88"
"222","3","200","90","90"
"226","3","200","92","92"
"227","3","200","88","88"
"229","3","200","90","90"
"228","3","200","88","88"
"230","3","200","88","88"
"223","3","200","87","87"
"231","3","200","90","90"
"232","3","200","88","88"
"236","3","200","86","86"
"235","3","200","87","87"
"234","3","200","88","88"
"233","3","200","93","93"
"237","3","200","91","91"
"238","3","200","86","86"
"239","3","200","88","88"
"240","3","200","86","86"
"241","3","200","90","90"
"243","3","200","88","88"
"244","3","200","88","88"
"245","3","200","89","89"
"246","3","200","88","88"
"247","3","200","90","90"
"248","3","200","92","92"
"249","3","200","87","87"
"250","3","200","86","86"
"251","3","200","88","88"
"252","3","200","88","88"
"253","3","200","87","87"
"242","3","200","92","92"
"257","3","200","86","86"
"254","3","200","90","90"
"255","3","200","87","87"
"258","3","200","84","84"
"256","3","200","89","89"
"259","3","200","88","88"
"260","3","200","90","90"
"261","3","200","89","89"
"262","3","200","94","94"
"263","3","200","89","89"
"264","3","200","91","91"
"266","3","200","88","88"
"269","3","200","88","88"
"268","3","200","91","91"
"270","3","200","87","87"
"267","3","200","88","88"
"271","3","200","85","85"
"272","3","200","88","88"
"274","3","200","89","89"
"273","3","200","88","88"
"265","3","200","84","84"
"275","3","200","87","87"
"276","3","200","87","87"
"278","3","200","87","87"
"280","3","200","84","84"
"277","3","200","90","90"
"279","3","200","88","88"
"281","3","200","90","90"
"282","3","200","86","86"
"283","3","200","90","90"
"284","3","200","92","92"
"285","3","200","88","88"
"287","3","200","87","87"
"288","3","200","88","88"
"290","3","200","85","85"
"291","3","200","88","88"
"293","3","200","88","88"
"292","3","200","88","88"
"289","3","200","88","88"
"294","3","200","85","85"
"295","3","200","85","85"
"296","3","200","92","92"
"297","3","200","87","87"
"299","3","200","86","86"
"298","3","200","91","91"
"300","3","200","92","92"
"286","3","200","89","89"
